Nom,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre,IG
Epinard,Legume,Commun,,24,100,23.0,2.9,1.1,0.4,2.2,15
Estragon,Legume,Rare,,282,5,295.0,22.8,50.2,7.2,7.4,0
Fanta,Boisson,Commun,Unitaire,33,100,47.0,0.0,11.4,0.0,0.0,68
Fenouil,Legume,Commun,,50,200,31.0,1.2,32.0,0.2,3.1,15
Feta,Fromage,Commun,Tranche,30,100,264.0,14.2,4.1,21.3,0.0,0
Figue,Fruit,Commun,Unitaire,172,50,74.0,0.8,19.2,0.3,2.9,35
Flétan,Poisson,Rare,,30,100,91.0,19.9,0.0,1.3,0.0,0
Fraise,Fruit,Commun,Petit,32,12,33.0,0.7,7.7,0.3,2.0,25
Framboise,Fruit,Commun,Petit,14,4,52.0,1.2,11.9,0.7,6.5,25
Fromage bleu,Laitage,Rare,Unitaire,130,100,353.0,21.4,2.3,28.7,0.0,0
Fruit de la passion,Fruit,Commun,Unitaire,70,20,"97,0","2,2","23,4","0,4","10,4",30
Galette de riz,Snack,Commun,Unitaire,9,9,387.0,8.0,81.0,3.0,2.2,85
Gombo,Legume,Rare,,69,100,33.0,1.9,7.5,0.2,3.2,0
Grenade,Fruit,Commun,Unitaire,250,500,83.0,1.7,18.7,1.2,4.0,35
Groseilles,Fruit,Rare,Petit,36,0.5,56.0,1.3,13.8,0.2,4.3,25
Haricots verts,Legume,Commun,Petit,5,5,31.0,1.8,7.1,0.1,3.4,15
Haricots noirs,Legume,Commun,Petit,192,50,339.0,21.3,62.4,0.9,15.5,30
Haricots rouges,Legume,Commun,Petit,200,50,333.0,24.4,60.0,0.8,25.0,33
Houmous,Tartinade,Commun,,67,100,237.0,7.9,20.1,15.6,6.0,25
Huile d'olive,Lipide,Commun,Liquide,10,100,884.0,0.0,0.0,100.0,0.0,0
Jalapeno,Legume,Rare,,19,5,29.0,0.9,6.5,0.4,2.8,0
Jambon blanc,Viande,Commun,Unitaire,40,50,145.0,20.5,1.0,6.3,0.0,0
Jambon de poulet,Viande,Commun,Unitaire,40,50,124.0,21.0,1.0,3.5,0.0,0
Chou Kale,Legume,Rare,,2,100,49.0,4.3,8.8,0.9,3.6,15
Kebab,PlatPrepare,Commun,Unitaire,350,250,"700,0","30,0","35,0","38,0","4,0",0
Ketchup,Sauce,Commun,,150,15,112.0,1.2,25.0,0.2,0.3,55
Kinder Bueno,Snack,Commun,Unitaire,43,20,572.0,8.6,49.0,37.3,1.4,0
Kiri,Fromage,Commun,Unitaire,100,20,319.0,6.4,5.3,30.5,0.0,0
Kiwi,Fruit,Commun,Unitaire,88,75,61.0,1.1,14.7,0.5,3.0,50
Lait,Laitage,Commun,Liquide,200,100,64.0,3.3,4.8,3.6,0.0,30
Laitue,Legume,Commun,,20,100,15.0,1.4,2.9,0.2,1.3,15
Lentilles,Legume,Commun,Petit,2,2,112.0,8.1,16.6,0.6,5.0,30
Lime,Fruit,Commun,,150,44,30.0,0.7,10.5,0.2,2.8,20
Graines de lin,Oleagineux,Rare,Petit,5,100,534.0,18.3,28.9,42.2,27.3,0
Litchi,Fruit,Rare,Unitaire,15,10,66.0,0.8,16.5,0.4,1.3,50
Luzerne,Legume,Très rare,,16,100,23.0,4.0,2.1,0.7,1.9,15
Magnum,Snack,Commun,Unitaire,100,100,290.0,3.5,28.5,18.5,0.5,0
Maïs,Feculent,Commun,Petit,45,50,365.0,9.4,74.3,4.7,7.3,55
